126,26,76,18,54,w
110,26,76,18,54,w
66,24,156,22,54,w
62,34,124,32,44,w
46,36,78,42,130,w
40,46,52,72,84,w
44,66,40,138,52,w
92,174,54,38,40,a
44,300,144,58,98,a
300,42,60,30,42,a
300,40,64,32,42,w
296,44,60,34,40,w
272,46,58,36,38,w
198,54,50,34,40,w
160,48,54,30,44,w
44,30,128,32,64,a
32,44,46,86,300,w
32,44,46,96,300,w
32,44,46,118,300,w
32,42,46,146,300,w
32,42,44,184,264,w
32,42,44,224,222,w
40,74,38,134,54,w
46,118,34,72,38,a
120,58,52,42,36,a
172,34,74,290,44,w
42,90,122,98,62,a
88,102,38,40,146,w
138,62,48,32,50,a
184,40,64,32,42,w
164,44,60,34,40,w
134,46,58,36,38,w
40,62,40,138,62,d
40,34,70,50,178,w
42,34,76,48,192,w
44,34,88,44,300,w
92,40,200,30,44,d
146,58,46,36,46,w
54,126,46,50,142,d
46,58,266,116,58,w
46,48,258,130,56,w
192,46,58,48,36,w
188,46,58,42,38,w
170,48,56,38,38,w
144,50,52,38,36,w
82,50,132,42,32,a
48,70,44,124,60,a
80,138,46,36,38,a
122,40,62,54,40,w
44,100,126,98,58,a
68,126,36,50,136,w
84,108,38,42,156,w
300,48,56,32,42,a
266,42,60,28,46,w
228,40,64,26,48,w
182,34,68,24,52,w
136,30,72,20,54,w
40,36,60,52,124,a
48,80,40,234,46,a
80,134,50,32,42,w
98,50,54,32,42,w
126,48,54,34,40,w
164,50,52,34,40,w
72,124,34,46,40,d
28,28,96,138,66,w
120,22,86,152,62,w
96,240,60,40,44,d
46,78,36,244,42,d
34,44,38,86,64,w
38,32,70,38,120,d
66,40,114,34,40,w
78,44,124,36,38,w
100,56,50,38,36,w
130,64,40,42,32,w
118,48,62,42,32,a
270,32,72,24,50,w
92,28,96,184,52,a
40,68,170,110,62,a
42,180,300,58,88,w
54,166,58,46,102,w
186,58,52,26,238,a
124,32,64,20,52,w
86,26,176,18,54,a
46,32,92,32,250,w
40,32,72,38,196,w
30,42,32,88,52,a
68,120,40,38,34,w
78,134,40,40,34,w
96,164,40,42,32,w
122,70,34,46,28,w
284,46,56,34,38,w
300,44,56,34,40,w
300,42,60,32,42,w
156,34,76,32,44,a
28,300,162,80,88,a
294,64,40,46,28,a
254,64,40,46,28,w
230,64,40,46,28,w
194,64,40,46,28,w
154,64,40,46,28,w
32,44,32,84,52,d
38,32,60,42,220,d
58,40,96,42,300,w
72,46,118,40,34,w
126,76,42,42,158,d
60,140,148,96,48,d
300,56,48,34,40,w
300,52,52,32,42,w
294,50,54,30,44,w
260,40,60,26,48,w
130,26,76,18,54,w
118,26,76,18,54,w
94,26,172,18,54,w
36,32,60,44,114,a
40,52,44,116,66,w
46,64,46,140,62,w
62,102,44,40,44,a
122,32,78,228,50,w
142,46,96,166,52,w
54,300,148,48,88,a
300,38,64,26,58,a
300,34,66,24,50,w
300,32,68,22,52,w
300,26,72,18,56,w
266,20,76,12,62,a
80,14,100,12,62,w
94,18,98,14,60,w
116,22,92,18,56,w
130,26,86,22,52,w
118,34,76,28,46,w
94,40,300,32,42,w
40,44,58,70,300,a
44,66,60,148,300,w
46,68,62,188,286,w
34,44,54,238,198,a
30,40,48,272,140,w
28,36,40,264,94,w
42,182,30,68,32,a
258,36,78,172,44,a
42,266,24,60,128,w
74,110,28,50,32,w
136,72,36,44,30,w
108,62,44,38,36,w
34,54,34,136,54,d
38,32,72,46,188,w
42,30,98,36,300,w
108,42,64,28,46,d
70,104,40,46,300,w
44,46,246,128,60,d
120,40,78,44,40,w
146,50,56,44,32,d
164,64,40,42,32,w
38,32,62,44,128,a
42,54,44,122,66,w
48,68,46,154,58,w
56,92,42,300,48,w
102,178,46,44,34,a
46,116,124,100,56,a
72,114,30,52,144,w
94,96,36,44,40,w
300,56,48,38,38,w
272,52,52,36,40,w
222,44,58,32,42,w
176,46,58,36,40,w
140,50,54,38,36,w
106,52,52,40,34,w
70,48,114,44,32,a
50,60,54,100,80,a
68,108,52,30,54,a
62,94,50,300,56,d
56,76,50,166,62,d
54,76,50,162,62,w
54,72,50,158,64,w
46,58,48,126,72,w
50,64,50,124,70,w
50,68,50,118,66,w
72,118,46,32,42,a
96,158,48,36,38,w
116,58,46,38,36,w
142,64,40,42,32,w
170,70,36,46,28,w
186,40,68,34,40,w
300,40,64,28,46,w
130,70,48,30,122,w
52,300,130,50,68,w
142,68,78,106,34,w
88,186,38,300,22,w
44,102,24,60,22,w
26,38,30,78,50,d
52,32,100,32,54,d
146,68,44,36,40,w
166,68,40,40,34,a
184,62,42,42,32,w
226,62,40,44,30,w
232,56,46,44,30,a
104,36,86,196,42,a
34,166,64,66,108,a
164,86,34,44,32,w
126,62,46,34,42,w
64,34,120,30,44,a
26,38,30,78,52,a
48,102,26,62,26,a
56,124,30,48,26,w
74,148,38,46,28,w
102,60,46,42,30,w
106,64,40,42,32,w
258,56,46,44,30,w
292,52,50,40,32,w
300,46,56,36,36,w
300,40,64,32,42,w
250,34,70,28,46,w
124,62,50,46,34,d
44,142,24,62,24,d
110,76,40,74,24,a
94,62,92,140,36,a
56,192,130,46,78,a
300,52,52,26,216,a
212,52,52,28,126,w
228,58,46,40,58,w
272,76,30,50,300,d
208,70,38,44,30,w
196,64,42,40,34,w
174,54,50,34,40,w
158,42,60,28,46,a
42,60,40,98,56,d
44,42,66,52,164,d
68,48,110,44,30,w
94,56,154,40,300,d
128,82,40,48,156,d
42,122,300,70,66,d
84,44,110,116,38,d
272,58,42,50,26,d
294,70,36,46,28,w
252,66,38,44,30,w

126,26,76,18,54,w
78,22,178,20,56,a
46,22,142,24,58,w
56,30,130,32,50,w
58,50,86,58,124,w
54,52,68,68,102,w
46,72,38,140,50,a
94,178,44,300,30,a
60,300,102,92,48,a
44,128,142,58,88,w
44,124,146,60,96,w
60,114,28,58,114,w
84,100,28,50,28,w
300,66,40,44,30,w
300,66,38,44,30,w
272,62,42,42,32,w
224,58,46,38,36,w
180,52,50,36,38,w
136,50,52,34,40,w
52,42,122,48,56,a
36,46,56,104,300,w
34,44,54,130,300,w
32,40,50,160,288,w
30,36,44,192,240,w
24,32,40,216,196,w
22,28,36,216,150,w
40,84,34,108,48,a
126,40,60,38,42,a
28,44,140,98,74,a
